english;hindi
tropical;उष्णकटिबंधीय
neglectical;उपेक्षित
leishmaniasis;लीशमैनिया
cutaneous leishmaniasis;काला ज्वर
cutaneous leishmaniasis;काला बुखार
kala azar;काला बुखार
visceral leishmaniasis;विस्सेरल लेशमानाइसिस
sandfly;बालू मक्खी
sandflies;बालू मक्खी
parasitic;परजीवी
protozoan;प्रोटोजोआ
pkdl;पोस्ट-कालाजार डर्मल लेशमानाइसिस
post kala azar dermal;पोस्ट-कालाजार डर्मल
vector;रोगवाहक
vector control;रोगवाहक नियंत्रण
vector surveilance;रोगवाहक निगरानी
outbreak;रोग प्रकोप,महामारी
transmission season;बालू मक्खी संचार मौसम
co-infection;सह संक्रमण
endophilic;अंदर रहने वाली बालु माखी
exophilic;बाहर रहने वाली बालु माखी
black fever;काला बुखार
fever;बुखार
weight loss;वजन घटना
skin sores;त्वचा  में घाव
anemia;खून की कमी
exposed areas;बीमारी के संपर्क में आने वाला क्षेत्र
ulcers;व्रण
inflammation;सूजन
difficulty breathing;सांस लेने में दिक्क्त
swallowing;निगलने
mucous membrane;श्लेष्मा झिल्ली
membrane;झिल्ली
enlarged spleen;तिल्ली बढ़ने की समस्या
spleen;तिल्ली
liver;जिगर
internal organs;आंतरिक अंग
bone marrow;अस्थि मज्जा
filariasis;फ़िलेरिया
elephantiasis;हाथी के पैर की तरह सूजन
calabar swelling;कालाबार सूजन
genitals;जननांगों
lymphedema;लिम्फेडीमा
recurrent attacks of fever;बार-बार बुखार आना
affected limbs;प्रभावित अंग
impaired kidney function;किडनी की कार्यक्षमता में कमी
inflammation;संवेदनशील होना
lymph nodes;लसद ग्रंथियों
chills;ठंड लगना
night sweats;रात को पसीना
fatigue;थकान
weakness;कमजोरी
weight loss;वजन कमी
loss of appetite;भूख न लगना
anemia;एनीमिया
enlarged spleen (splenomegaly);बढ़ी हुई तिल्ली (स्प्लीनोमेगली)
enlarged liver (hepatomegaly);बढ़ी हुई जिगर (हेपेटोमेगली)
swollen lymph nodes;सूजा हुआ लस्टू (लिम्फ नोड)
abdominal pain;पेट में दर्द
abdominal distension;पेट का फूलना
nausea;जी मिचलाना
vomiting;उल्टी
diarrhea;दस्त
cough;खांसी
shortness of breath;सांस की तकलीफ
chest pain;छाती में दर्द
jaundice;पीलिया
dark urine;काले मूत्र
pale stools;पीला मल
skin rashes;त्वचा के दाने
skin ulcers;त्वचा के घाव
bleeding tendencies;खून बहने की प्रवृत्ति
joint pain;जोड़ों में दर्द
muscle pain;मांसपेशियों में दर्द
headache;सिरदर्द
dizziness;चक्कर आना
confusion;भ्रम
seizures;मिर्गी का रोग
altered mental status;मानसिक स्थिति में परिवर्तन
difficulty sleeping;नींद न आना
swelling of the legs, feet, or ankles (edema);पैरों, पैरों के ऊपरी हिस्से या टखनों का सूजन (एडिमा)
irregular heartbeat;अनियमित दिल की धड़कन
low blood pressure;कम ब्लड प्रेशर
kidney failure;किडनी असफलता
pancreatitis;पैनक्रेटाइटिस
pneumonia;न्यूमोनिया
secondary bacterial infections;द्वितीयक बैक्टीरियल संक्रमण
malnutrition;पोषणहीनता
dehydration;दुर्गंधा
hypoglycemia;कम शुगर स्तर
electrolyte imbalances;विद्युत धारिता असंतुलन
thrombocytopenia (low platelet count);थ्रोम्बोसाइटोपेनिया (कम प्लेटलेट संख्या)
leukopenia (low white blood cell count);ल्यूकोपेनिया (कम सफेद रक्त कोशिका कारक)
neutropenia (low neutrophil count);न्यूट्रोपेनिया (कम न्यूट्रोफिल गणनाकारक)
pancytopenia (low blood cell counts);पैनसाइटोपेनिया (कम रक्त कोशिका गणनाकारक)
hepatic dysfunction;जिगर की गतिशीलता
immune suppression;प्रतिरक्षा दबाव
onchocercoma;ऑन्कोसेर्कोमा
skin lesions;त्वचा के घाव
skin depigmentation;त्वचा का रंग उतारना
skin thickening;त्वचा का मोटा हो जाना
skin ulceration;त्वचा के घाव
eye inflammation;आँखों में सूजन
photophobia: sensitivity to light;प्रकाश के प्रति संवेदनशीलता:,उज्ज्वलता की संवेदनशीलता
excessive tearing;अत्यधिक आंसू बहना
eye pain;आंखों में दर्द
blurred vision;धुंधली दृष्टि
visual disturbances;दृष्टि संबंधी अस्पष्टताएं
visual impairment;दृष्टि की क्षमता कम होना
blindness (in cases of onchocerciasis);अंधता (ऑन्कोसेर्काइसिस के मामलों में)
eye redness;आंखों में लालिमा
eye itching;आंखों में खुजली
eye discharge;आंखों से दूसरे पदार्थ निकलना
corneal opacity;कोर्नियल अस्पष्टता
glaucoma;ग्लूकोमा
cataracts;कैटरैक्ट
retinal damage;नेत्रपट नुकसान
sclerosing keratitis;स्क्लेरोसिंग केराटाइटिस
optic nerve inflammation;नेत्र नस की सूजन
optic nerve atrophy;नेत्र नस का अत्रोफी
optic neuritis;नेत्र नस की सूजन
secondary bacterial infections of the skin or eyes;त्वचा या आंखों के दूसरे बैक्टीरियल संक्रमण
onchocerciasis;ऑन्कोसेर्काइसिस
